User Query,Expected Question,Retrieved Question,Actual Focus Area,Retrieved Focus Area,Similarity
tell the ways to manage for krabbe condition,What are the treatments for Krabbe disease ?,What are the treatments for Krabbe Disease ?,Krabbe disease,Krabbe Disease,0.65171266
tell me about the genetic to type 2 ?,What are the genetic changes related to neurofibromatosis type 2 ?,What are the genetic changes related to atelosteogenesis type 2 ?,neurofibromatosis type 2,atelosteogenesis type 2,0.64924324
tell about the ways to manage sydenham ?,What are the treatments for Sydenham Chorea ?,What is the outlook for Sydenham Chorea ?,Sydenham Chorea,Sydenham Chorea,0.6217935
how many are affected by type 7 ?,How many people are affected by spastic paraplegia type 7 ?,How many people are affected by 7q11.23 duplication syndrome ?,spastic paraplegia type 7,7q11.23 duplication syndrome,0.6028651
tell me about the of of mibelli ?,What are the symptoms of Porokeratosis of Mibelli ?,What is (are) Porokeratosis of Mibelli ?,Porokeratosis of Mibelli,Porokeratosis of Mibelli,0.59032124
who is at for breast ?,Who is at risk for Breast Cancer? ?,What is (are) Breast Diseases ?,Breast Cancer,Breast Diseases,0.5806243
me about the changes related to isolated sequence ?,What are the genetic changes related to isolated lissencephaly sequence ?,What is (are) isolated Pierre Robin sequence ?,isolated lissencephaly sequence,isolated Pierre Robin sequence,0.5647706
explain outlook for benign essential ?,What is the outlook for Benign Essential Blepharospasm ?,What is (are) benign essential blepharospasm ?,Benign Essential Blepharospasm,benign essential blepharospasm,0.55704176
explain outlook for refsum condition ?,What is the outlook for Infantile Refsum Disease ?,What is (are) Refsum Disease ?,Infantile Refsum Disease,Refsum Disease,0.5311669
what are the reasons for problems with,What causes Problems with Taste ?,What is (are) Problems with Smell ?,Problems with Taste,Problems with Smell,0.5281402
are the reasons for condition ?,What causes Freiberg's disease ?,What causes Denys-Drash syndrome ?,Freiberg's disease,Denys-Drash syndrome,0.52801216
me about the signs of ?,What are the symptoms of Hemophilia ?,What are the symptoms of Depression ?,Hemophilia,Depression,0.5036308
what the reasons for what i need know about ?,What causes What I need to know about Gas ?,Do you have information about Understanding Medical Research,What I need to know about Gas,Understanding Medical Research,0.4824789
how many people are by ?,How many people are affected by fibrochondrogenesis ?,How many people are affected by 1q21.1 microdeletion ?,fibrochondrogenesis,1q21.1 microdeletion,0.44640964
tell me about the to manage congenita ?,What are the treatments for myotonia congenita ?,What is (are) Anonychia congenita ?,myotonia congenita,Anonychia congenita,0.435023
tell me about the to manage condition ?,What are the treatments for Kawasaki disease ?,What are the treatments for multiminicore disease ?,Kawasaki disease,multiminicore disease,0.4205371
